NO,ISSUE,SEVERITY,DESCRIPTION,OPTIONS,app,source_path
11,"Service (com.google.android.gms.auth.api.signin.RevocationBoundService) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
12,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
13,"Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
14,"Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
1,"App can be installed on a vulnerable unpatched Android versionAndroid 5.1-5.1.1, [minSdk=22]",high,"This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.",Suppression the rule vulnerable_os_version in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
2,Clear text traffic is Enabled For App[android:usesCleartextTraffic=true],high,"The app intends to use cleartext network traffic, such as cleartext HTTP, FTP stacks, DownloadManager, and MediaPlayer. The default value for apps that target API level 27 or lower is ""true"". Apps that target API level 28 or higher default to ""false"". The key reason for avoiding cleartext traffic is the lack of confidentiality, authenticity, and protections against tampering; a network attacker can eavesdrop on transmitted data and also modify it without being detected.",Suppression the rule clear_text_traffic in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
3,Application Data can be Backed up[android:allowBackup] flag is missing.,warning,The flag [android:allowBackup] should be set to false. By default it is set to true and allows anyone to backup your application data via adb. It allows users who have enabled USB debugging to copy application data off of the device.,Suppression the rule allowbackup_not_set in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
4,App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://mykia-app.kia.com],high,"App Link asset verification URL (https://mykia-app.kia.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: None). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
5,App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://www.test.kia.eu],high,"App Link asset verification URL (https://www.test.kia.eu/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: None). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
6,App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://eu-accountstg.kia.com],high,"App Link asset verification URL (https://eu-accountstg.kia.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
7,App Link assetlinks.json file not found[android:name=com.kia.eu.mykia.MainActivity][android:host=https://www.kia.com],high,"App Link asset verification URL (https://www.kia.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
8,"Activity (com.adobe.phonegap.push.PushHandlerActivity) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.kia.eu.mykia.permission.PushHandlerActivity [android:exported=true]",warning,"An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule activity_exported_protected_permission_not_defined in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
9,Broadcast Receiver (com.adobe.phonegap.push.BackgroundActionButtonHandler) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
10,Broadcast Receiver (com.adobe.phonegap.push.PushDismissedHandler) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
11,Service (com.adobe.phonegap.push.FCMService) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule service_explicitly_exported in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
12,Service (com.adobe.phonegap.push.PushInstanceIDListenerService) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule service_explicitly_exported in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
13,Service (com.google.android.play.core.assetpacks.AssetPackExtractionService) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule service_explicitly_exported in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
14,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
15,"Broadcast Receiver (com.google.android.gms.measurement.AppMeasurementInstallReferrerReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.INSTALL_PACKAGES [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.kia.eu.mykia,Kia,/home/jovyan/work/SOEN 321/car_app_analysis/Kia/manifest_analysis.csv
1,"App can be installed on a vulnerable Android versionAndroid 9, minSdk=28]",warning,"This application can be installed on an older version of android that has multiple vulnerabilities. Support an Android version => 10, API 29 to receive reasonable security updates.",Suppression the rule vulnerable_os_version2 in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
2,App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config],info,"The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.",Suppression the rule has_network_security in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
3,Activity (net.openid.appauth.RedirectUriReceiverActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
4,Service (ly.count.dart.countly_flutter.CountlyMessagingService) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule service_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
5,Broadcast Receiver (de.bmw.connected.lib.audio.player.MediaButtonReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
6,Activity (com.bmwgroup.carconnection.usb.UsbAccessoryLaunchActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
7,"Broadcast Receiver (com.bmw.smacc.gms.digitalkey.GmsDigitalKeyChangedBroadcastReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.gms.dck.permission.DIGITAL_KEY_PRIVILEGED [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
8,Broadcast Receiver (ly.count.android.sdk.ReferrerReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
9,Broadcast Receiver (com.bmw.downloader.services.BluetoothBroadcastReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
10,"Broadcast Receiver (io.flutter.plugins.firebase.messaging.FlutterFirebaseMessagingReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
11,Service (com.bmwgroup.connected.app.CarApplicationLauncher) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule service_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
12,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
13,TaskAffinity is set for activity (androidx.glance.appwidget.action.InvisibleActionTrampolineActivity),warning,"If taskAffinity is set, then other application could read the Intents sent to Activities belonging to another task. Always use the default setting keeping the affinity as the package name in order to prevent sensitive information inside sent or received Intents from being read by another application.",Suppression the rule activity_task_affinity_set in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
14,"Service (androidx.glance.appwidget.GlanceRemoteViewsService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_REMOTEVIEWS [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
15,TaskAffinity is set for activity (ly.count.android.sdk.messaging.CountlyPushActivity),warning,"If taskAffinity is set, then other application could read the Intents sent to Activities belonging to another task. Always use the default setting keeping the affinity as the package name in order to prevent sensitive information inside sent or received Intents from being read by another application.",Suppression the rule activity_task_affinity_set in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
16,"Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
17,"Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
18,"Broadcast Receiver (androidx.profileinstaller.ProfileInstallReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
19,Broadcast Receiver (com.bmwgroup.connected.coex.discovery.BluetoothBroadcastReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
20,High Intent Priority (500) - {2} Hit(s)[android:priority],warning,"By setting an intent priority higher than another intent, the app effectively overrides other requests.",Suppression the rule high_intent_priority_found in de.bmw.connected.mobile20.na,Mercedes,/home/jovyan/work/SOEN 321/car_app_analysis/Mercedes/manifest_analysis.csv
1,"App can be installed on a vulnerable Android versionAndroid 8.0, minSdk=26]",warning,"This application can be installed on an older version of android that has multiple vulnerabilities. Support an Android version => 10, API 29 to receive reasonable security updates.",Suppression the rule vulnerable_os_version2 in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
2,Broadcast Receiver (com.aqsmartphone.android.nissan.FourButtonWidgets.FourButtonWidget) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
3,Broadcast Receiver (com.aqsmartphone.android.nissan.FourButtonWidgets.ThreeButtonWidget) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
4,"Service (com.aqsmartphone.android.nissan.widgetUtils.AppStateDetector) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
5,Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.BatteryPercentage) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
6,Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.DoorLock) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
7,Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.ClimateON) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
8,Broadcast Receiver (com.aqsmartphone.android.nissan.SingleButtonWidget.MycarFinder) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
9,"Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
10,"Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
11,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
12,"Broadcast Receiver (androidx.profileinstaller.ProfileInstallReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.aqsmartphone.android.nissan,Nissan,/home/jovyan/work/SOEN 321/car_app_analysis/Nissan/manifest_analysis.csv
1,App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config],info,"The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.",Suppression the rule has_network_security in com.subaru.telematics.app.remote,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/manifest_analysis.csv
2,"Broadcast Receiver (io.invertase.firebase.messaging.ReactNativeFirebaseMessagingReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.subaru.telematics.app.remote,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/manifest_analysis.csv
3,Activity (com.verint.xm.sdk.surveymanagement.survey.SMFullScreenActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.subaru.telematics.app.remote,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/manifest_analysis.csv
4,"Broadcast Receiver (com.verint.xm.sdk.predictive.tracker.services.NotificationBroadcastReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.subaru.telematics.app.remote.verint.xm.sdk.RECEIVE_DELETE_ACTION_BROADCASTprotectionLevel: normal [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission. However, the protection level of the  permission is set to normal. This means that a malicious application can request and obtain the permission and interact with the component. If it was set to signature, only applications signed with the same certificate could obtain the permission.",Suppression the rule receiver_exported_protected_permission_normal in com.subaru.telematics.app.remote,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/manifest_analysis.csv
5,Activity (com.verint.xm.sdk.predictive.tracker.app.invite.InviteActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.subaru.telematics.app.remote,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/manifest_analysis.csv
6,Activity (com.verint.xm.sdk.predictive.tracker.app.survey.SurveyActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.subaru.telematics.app.remote,Subaru,/home/jovyan/work/SOEN 321/car_app_analysis/Subaru/manifest_analysis.csv
